GHGRP ID,Landfill ID,landfill_name,Landfill Alias,us_state,Physical Address,City,County,Zip Code,Latitude,Longitude,Military Landfill?,On Tribal Land?,Anaerobic Digester?,Composting?,Solar Project?,Wind Project?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),waste_in_place,waste_in_place_year,annual_waste_acceptance,Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments,Projected Direct Reductions (MMTCO2e/yr) - MW,Projected Avoided Reductions (MMTCO2e/yr) - MW,Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,LFG Use Details,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Potential End Users,End User(s),Project Developer(s),Project Owner(s),Product Supplier(s),Self-Developed,Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1004415,2408,Brundidge Landfill,,AL,515 Cleanwater Drive,Brundidge,Pike,36010,31.7041,-85.8299,No,No,No,No,No,No,Private,Brundidge Acquisitions,Brundidge Acquisitions,2001,2397,Open,,,,,"23,947,035","885,933",2019,63,2019,No,Not used,No,,No,,,,Unknown,,,,,,,180769-0,Future Potential,,,,Unknown,Unknown,,,,,,,,,,,No,,
,6,Calhoun County SLF,Anniston SLF,AL,3625 Morrisville Road,Anniston,Calhoun,36201,33.675,-85.92,No,No,No,No,No,No,Public,"Calhoun County Commission, AL","Calhoun County Commission, AL",1969,1993,Closed,,,,,,"4,350,000",,"7,252",,Unknown,Not used,No,,No,,,,No,,,,,,,61-0,Low Potential,,,,Unknown,Unknown,,,,,,,,,,,No,,
1001633,23,Cedar Hill Landfill,"Harmons SLF MSWLF, Urban Sanitation Corporation SLF",AL,1319 N. Business Creek Road,Ragland,St. Clair,35131,33.68345,-86.25272,No,No,No,No,No,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1975,2353,Open,,50,,100,"61,657,070","5,156,207",2019,"198,278",2019,Yes,Several times per year,No,1.81,Yes,0.751,2019,46.6,Yes,1,0.751,2019,"9/10-19 vertical & 1 horizontal gas well, system installed ~1998, 1 candlestick flare.; 2012-51 wells, system capacity=1800 acfm.",0.0611,0.0071,78-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,Fluid Components International (FCI),No,,
1007813,8,Chastang SLF,City of Mobile SLF MSWLF,AL,17045 Highway 43,Mt. Vernon,Mobile,36560,31.06179,-88.02503,No,No,No,No,No,No,Public,"City of Mobile, AL","Waste Management, Inc.",1976,2153,Open,199,102.6,,116,"37,173,934","7,585,362",2019,"214,591",2019,No,Occasionally but not every year,No,3.92,Yes,1.177,2019,37.5,Yes,1,1.177,2019,"9/10-100 wells over 87 acres, system installed in 2000, 1 open flare.; 2010-101 wells, system capacity=3000 scfm.",0.0957,0.0111,63-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
,2409,Chilton County Landfill,,AL,300 Industrial Drive,Thorsby,Chilton,35171,32.9285,-86.7405,No,No,No,No,No,No,Private,"Republic Services, Inc.","Republic Services, Inc.",,,Closed,,,,,,,,,,Unknown,Not used,No,,No,,,,Unknown,,,,,,,180770-0,Unknown,,,,Unknown,Unknown,,,,,,,,,,,No,,
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,Decatur SLF MSWLF; Morgan County Regional Landfill,AL,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,No,No,No,No,No,No,Public,"City of Decatur, AL; Morgan County, AL","City of Decatur, AL",1980,2050,Open,223.4,72,80,60,"11,360,146","6,094,528",2019,"211,214",2019,No,Occasionally but not every year,No,,Yes,0.776,2019,54.4,Yes,,,,"10/03-GCCS being installed now, 12 wells initially with an additional 55-60 wells later.; 1/05 - ~80 vertical wells installed.; 12/11-Most recent GCCS expansion in Spring 2011.",,,181062-0,Operational,Project #2,8/2/10,,Electricity,Reciprocating Engine,,(1) Caterpillar 3516 electrical generator; GraniteFuel SRT added for siloxane removal,0.68,0.9,0.37,,Tennessee Valley Authority (TVA),Granger Energy,,"Caterpillar, Inc.",No,0.0307,0.0036
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,Decatur SLF MSWLF; Morgan County Regional Landfill,AL,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,No,No,No,No,No,No,Public,"City of Decatur, AL; Morgan County, AL","City of Decatur, AL",1980,2050,Open,223.4,72,80,60,"11,360,146","6,094,528",2019,"211,214",2019,No,Occasionally but not every year,No,,Yes,0.776,2019,54.4,Yes,,,,"10/03-GCCS being installed now, 12 wells initially with an additional 55-60 wells later.; 1/05 - ~80 vertical wells installed.; 12/11-Most recent GCCS expansion in Spring 2011.",,,181062-1,Operational,"Project #2, Expansion #1",7/31/11,,Electricity,Cogeneration,,"(1) Caterpillar 3516 electrical generator with heat recovery to help heat new recycling center (10,800 sq ft) during winter; GraniteFuel SRT added for siloxane removal",0.69,0.9,0.37,,Tennessee Valley Authority (TVA),"City of Decatur, AL","City of Decatur, AL","Caterpillar, Inc.; GraniteFuel",Yes,0.0312,0.0036
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,Decatur SLF MSWLF; Morgan County Regional Landfill,AL,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,No,No,No,No,No,No,Public,"City of Decatur, AL; Morgan County, AL","City of Decatur, AL",1980,2050,Open,223.4,72,80,60,"11,360,146","6,094,528",2019,"211,214",2019,No,Occasionally but not every year,No,,Yes,0.776,2019,54.4,Yes,,,,"10/03-GCCS being installed now, 12 wells initially with an additional 55-60 wells later.; 1/05 - ~80 vertical wells installed.; 12/11-Most recent GCCS expansion in Spring 2011.",,,57-0,Shutdown,Project #1,9/1/04,12/31/09,Direct,Direct Thermal,,"LFG is used as fuel throughout the plant to produce flat rolled carbon steel from scrap metals and other iron sources, pipeline is 6,200 feet; LFG is mixed with NG in a ""mixing station"" at Nucor facility prior to use in the plant",,,1.008,,"Nucor Steel Decatur, LLC",Granger Energy,,,No,,
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,Decatur SLF MSWLF; Morgan County Regional Landfill,AL,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,No,No,No,No,No,No,Public,"City of Decatur, AL; Morgan County, AL","City of Decatur, AL",1980,2050,Open,223.4,72,80,60,"11,360,146","6,094,528",2019,"211,214",2019,No,Occasionally but not every year,No,,Yes,0.776,2019,54.4,Yes,,,,"10/03-GCCS being installed now, 12 wells initially with an additional 55-60 wells later.; 1/05 - ~80 vertical wells installed.; 12/11-Most recent GCCS expansion in Spring 2011.",,,57-1,Shutdown,"Project #1, Expansion #1",1/1/08,12/31/09,Direct,Direct Thermal,,"LFG is used as fuel throughout the plant to produce flat rolled carbon steel from scrap metals and other iron sources, pipeline is 6,200 feet; LFG is mixed with NG in a ""mixing station"" at Nucor facility prior to use in the plant",,,0.216,,"Nucor Steel Decatur, LLC",Granger Energy,,,No,,
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,Decatur SLF MSWLF; Morgan County Regional Landfill,AL,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,No,No,No,No,No,No,Public,"City of Decatur, AL; Morgan County, AL","City of Decatur, AL",1980,2050,Open,223.4,72,80,60,"11,360,146","6,094,528",2019,"211,214",2019,No,Occasionally but not every year,No,,Yes,0.776,2019,54.4,Yes,,,,"10/03-GCCS being installed now, 12 wells initially with an additional 55-60 wells later.; 1/05 - ~80 vertical wells installed.; 12/11-Most recent GCCS expansion in Spring 2011.",,,57-2,Shutdown,"Project #1, De-Expansion #1",1/1/10,12/31/10,Direct,Direct Thermal,,"LFG is used as fuel throughout the plant to produce flat rolled carbon steel from scrap metals and other iron sources, pipeline is 6,200 feet; LFG is mixed with NG in a ""mixing station"" at Nucor facility prior to use in the plant",,,0.144,,"Nucor Steel Decatur, LLC",Granger Energy,,,No,,
1010957,19,City of Dothan SLF MSWLF,,AL,1290 Burkett Road,Dothan,Houston,36303,31.238766,-85.356721,No,No,No,No,No,No,Public,"City of Dothan, AL","City of Dothan, AL",1977,2030,Open,49.3,,,,"5,266,741","3,819,306",2019,"10,440",2019,No,Not used,No,,No,,,,No,,,,,0.1342,0.0155,74-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
1006186,9,Coffee County Sanitary Landfill,,AL,7733 Highway 125,Elba,Coffee,36323,31.507053,-86.000975,No,No,No,No,No,No,Public,"Coffee County Commission, AL",Coffee County Sanitary Landfill,1993,2048,Open,450,61.6,,60,"6,765,340","3,972,893",2019,"221,315",2019,No,Not used,No,2.01,Yes,0.72,2019,54,Yes,,0.72,2019,"12/06-4 passive candlestick flares; 1/07-Adding 5th passive flare in couple weeks.; 11/10-Active gas collection & destruction began in late 2009.; 2012-39 wells, system capacity=1400 acfm.",0.0586,0.0068,64-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
,3,Cullman County SLF,,AL,"Highway 69
near Cold Springs",,Cullman,,,,No,No,No,No,No,No,Public,"Cullman County Commission, AL","Cullman County Commission, AL",1974,1993,Closed,75,,,30,,"912,793",1993,"73,255",,Unknown,Not used,No,,No,,,,No,,,,,,,58-0,Low Potential,,,,Unknown,Unknown,,,,,,,,,,,No,,
1007382,4,Cullman Environmental Waste Management Center,,AL,2805 AL Highway 69 South,Cullman,Cullman,35057,34.02878,-86.90069,No,No,No,No,No,No,Private,"Cullman Environmental, Inc.","Cullman Environmental, Inc.",1993,2040,Open,,29,,60,"2,937,045","1,871,531",2019,"88,253",2019,Yes,Several times per year,No,0.603,No,,,,No,,,,,0.049,0.0057,59-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
1007018,15,Eastern Area Landfill,,AL,2787 Alton Drive,Birmingham,Jefferson,35210,33.5978,-86.6288,No,No,No,No,No,No,Public,"City of Birmingham, AL","City of Birmingham, AL",1974,2026,Open,72,48,,,"4,469,515","4,394,836",2019,814,2019,No,Not used,No,1.83,No,,,,No,,,,,0.1488,0.0172,70-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
,35,Florence SLF MSWLF,,AL,"29485 Waterloo Road & Savannah Highway
State Highway 20",Florence,Lauderdale,35630,34.806005,-87.714765,No,No,No,No,No,No,Public,"City of Florence Public Works, AL","City of Florence Public Works, AL",1988,2015,Closed,37,17,,,,"1,361,816",2009,"64,010",2007,Unknown,Not used,No,,No,,,,No,,,,,,,90-0,Low Potential,,,,Unknown,Unknown,,,,,,,,,,,No,,
,34,Florence SLF MSWLF (Old),,AL,Irvine Avenue,Florence,Lauderdale,35630,34.803,-87.7058,No,No,No,No,No,No,Private,Hensley-Graves Holdings LLC,,1972,1988,Closed,,39,,,,"1,461,912",,,,Unknown,Not used,No,,Yes,,,50,No,,,,,,,89-0,Shutdown,Project #1,,12/31/99,Direct,Direct Thermal,,,,,,,,,,,No,,
1005839,11,Huntsville MSWLF,,AL,4100 Leeman Ferry Road SW,Huntsville,Madison,35804,34.6885,-86.592,No,No,No,No,No,No,Public,City of Huntsville S.W. Disposal Authority,City of Huntsville S.W. Disposal Authority,1946,2060,Open,215,191,40,,,"11,928,823",2019,"378,786",2019,No,Not used,No,2.09,No,,,,No,,,,2010-Passive venting only now.,0.17,0.0197,201486-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,Unknown,,
1005839,11,Huntsville MSWLF,,AL,4100 Leeman Ferry Road SW,Huntsville,Madison,35804,34.6885,-86.592,No,No,No,No,No,No,Public,City of Huntsville S.W. Disposal Authority,City of Huntsville S.W. Disposal Authority,1946,2060,Open,215,191,40,,,"11,928,823",2019,"378,786",2019,No,Not used,No,2.09,No,,,,No,,,,2010-Passive venting only now.,,,66-0,Shutdown,Project #1,7/17/90,3/1/01,Direct,Boiler,,"LFG was purified, compressed, & piped to Ogden's Energy Recovery plant from April-November as a supplemental fuel for 2 boilers (run on LFG, NG, & #2 diesel oil) to send steam through a 7 mile 10"" pipeline to the US Army's Redstone Arsenal",,,2.3,,Ogden Waste-to-Energy (WTE) Project; Redstone Arsenal,CDR Maguire,,,No,,
,10,Irvington SLF,,AL,7195 Half Mile Road,Irvington,Mobile,36544,30.490688,-88.210629,No,No,No,No,No,No,Public,Mobile County Commission,McCrory & Williams,1974,1981,Closed,80,,30,,,"967,998",,,,Unknown,Not used,No,,Yes,,,50,No,,,,,,,65-0,Shutdown,Project #1,,,Unknown,Unknown,,,,,,,,,,,No,,
1004014,25,Jefferson County LF No. 1,Mt. Olive SLF MSWLF,AL,101 Barber Boulevard,Gardendale,Jefferson,35071,33.711,-86.873,No,No,No,No,No,No,Public,"Jefferson County, AL","Santek Environmental, Inc.",1982,2057,Open,163.7,70.4,,,"19,347,893","5,167,255",2019,"420,253",2019,No,Not used,No,1.6,No,,,,No,,,,,0.1301,0.0151,80-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
1005680,13,Jefferson County LF No. 2,Turkey Creek SLF MSWLF,AL,7035 Narrows Road,Pinson,Jefferson,35126,33.7077,-86.7104,No,No,No,No,No,No,Public,"Jefferson County, AL","Santek Environmental, Inc.",1982,2099,Open,,65.9,,,"3,483,997","1,665,314",2019,1,2019,No,Not used,No,1.1,No,,,,No,,,,,0.0895,0.0104,68-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
1007875,20,Magnolia Subtitle D MSW LF,,AL,15140 County Road 49,Summerdale,Baldwin,36580,30.45727,-87.7761,No,No,No,No,No,No,Public,"Baldwin County, AL","Baldwin County, AL",1997,2036,Open,96,47.9,,10,"6,408,237","4,125,565",2019,"196,855",2019,No,Not used,No,2.68,Yes,0.832,2019,55,Yes,,0.832,2019,"12/07-7 wells in, 1 flare going in Spring 08.; 2012-23 wells, system capacity=1200 acfm.",0.0677,0.0078,75-0,Candidate,,,,Unknown,Unknown,,,,,,,,"Baldwin County, AL",,,No,,
,31,Monroe County SLF,,AL,,Monroeville,Monroe,,31.59573,-87.33187,No,No,No,No,No,No,Public,"Monroe County Commission, AL",,1982,1998,Closed,,69.5,,,,"1,205,385",1998,"75,337",1998,Unknown,Not used,No,,No,,,,No,,,,,,,86-0,Low Potential,,,,Unknown,Unknown,,,,,,,,,,,No,,
1002464,2011,Morris Farm Landfill,"Lawrence County Disposal, Inc.",AL,4 County Road 418,Hillsboro,Lawrence,35643,34.70381,-87.22116,No,No,No,No,No,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1997,2067,Open,,55,,,"16,643,163","6,323,865",2019,"262,744",2019,No,Not used,No,2.38,Yes,1.429,2019,47.9,Yes,,1.429,2019,"2012-40 wells, system capacity=2500 acfm.",0.1162,0.0135,167096-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
1006028,14,New Georgia MSWLF,Birmingham SLF,AL,2800 47th Avenue North,Birmingham,Jefferson,35207,33.585,-86.815,No,No,No,No,No,No,Public,"City of Birmingham, AL","City of Birmingham, AL",1970,2030,Open,,149,60,,"9,644,756","7,758,371",2019,"130,788",2019,No,Not used,No,,Yes,1.3,,50,Yes,1,1.3,,"3/10-90 wells installed in 1990, 10 wells added in 2003, 100% coverage of LF.",0.1057,0.0123,181044-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
1006028,14,New Georgia MSWLF,Birmingham SLF,AL,2800 47th Avenue North,Birmingham,Jefferson,35207,33.585,-86.815,No,No,No,No,No,No,Public,"City of Birmingham, AL","City of Birmingham, AL",1970,2030,Open,,149,60,,"9,644,756","7,758,371",2019,"130,788",2019,No,Not used,No,,Yes,1.3,,50,Yes,1,1.3,,"3/10-90 wells installed in 1990, 10 wells added in 2003, 100% coverage of LF.",,,69-0,Shutdown,Project #1,6/1/98,12/31/07,Direct,Boiler,,"125,000 pounds/hour steam boiler",,,0.97,,Sloss Industries,DTE Biomass Energy,,,No,,
1006957,18,North Montgomery SLF MSWLF,,AL,115 Division Street,Montgomery,Montgomery,36104,32.4131,-86.3245,No,No,No,No,No,No,Public,"City of Montgomery, AL","City of Montgomery, AL",1969,2040,Open,348,48.7,,,,"10,840,930",2019,"113,522",2019,No,Not used,No,2.47,Yes,0.435,2019,49,Yes,1,0.435,2019,"4/05-Flare is used 1-2 days/month on average for pressure regulation and when the end user is not running.; 10/11-Total of 64 wells installed as of 2008.; 2012-79 wells, system capacity=1500 acfm.",0.0354,0.0041,201485-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,Unknown,,
1006957,18,North Montgomery SLF MSWLF,,AL,115 Division Street,Montgomery,Montgomery,36104,32.4131,-86.3245,No,No,No,No,No,No,Public,"City of Montgomery, AL","City of Montgomery, AL",1969,2040,Open,348,48.7,,,,"10,840,930",2019,"113,522",2019,No,Not used,No,2.47,Yes,0.435,2019,49,Yes,1,0.435,2019,"4/05-Flare is used 1-2 days/month on average for pressure regulation and when the end user is not running.; 10/11-Total of 64 wells installed as of 2008.; 2012-79 wells, system capacity=1500 acfm.",,,73-0,Shutdown,Project #1,10/1/98,1/1/11,Direct,Direct Thermal,,LFG is chilled and piped 1.8 miles to first brick kiln,,,0.87,,Acme Brick,DTE Biomass Energy,,,No,,
1006957,18,North Montgomery SLF MSWLF,,AL,115 Division Street,Montgomery,Montgomery,36104,32.4131,-86.3245,No,No,No,No,No,No,Public,"City of Montgomery, AL","City of Montgomery, AL",1969,2040,Open,348,48.7,,,,"10,840,930",2019,"113,522",2019,No,Not used,No,2.47,Yes,0.435,2019,49,Yes,1,0.435,2019,"4/05-Flare is used 1-2 days/month on average for pressure regulation and when the end user is not running.; 10/11-Total of 64 wells installed as of 2008.; 2012-79 wells, system capacity=1500 acfm.",,,73-1,Shutdown,"Project #1, Expansion #1",1/1/00,1/1/10,Direct,Direct Thermal,,LFG is chilled and piped 1.8 miles to second brick kiln,,,0.44,,Acme Brick,DTE Biomass Energy,,,No,,
1002646,22,Pine View SLF MSWLF,"Walker County Disposal, Inc.",AL,2730 Bryan Road,Dora,Walker,35062,33.71458,-87.04981,No,No,No,No,No,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1993,2025,Open,166,87.2,,75,"20,503,116","10,653,841",2019,"277,566",2019,No,Not used,No,4.78,Yes,1.732,2019,53.1,Yes,1,1.732,2019,"5/03-Plan to install collection system in 2003.; 12/08-43 extraction wells, 3 condensate sumps, & a utility flare.; 9/10-81 wells over 70 acres, 1 candlestick flare.; 2012-84 wells, system capacity=4000 acfm.",0.1409,0.0163,77-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
